,region,Code,Year,rate
0,Albania,ALB,1998,33.433434
1,Albania,ALB,2004,58.799999
2,Algeria,DZA,2004,80.733231
3,Algeria,DZA,2014,79.89418
4,Andorra,AND,2009,92.878632
5,Argentina,ARG,1984,78.571426
6,Argentina,ARG,1993,76.347305
7,Argentina,ARG,1998,81.742355
8,Argentina,ARG,2004,81.09375
9,Argentina,ARG,2009,86.072144
10,Argentina,ARG,2014,87.207031
11,Armenia,ARM,1998,54.799999
12,Armenia,ARM,2014,81.619659
13,Australia,AUS,1984,95.491806
14,Australia,AUS,1998,94.140625
15,Australia,AUS,2009,92.42746
16,Australia,AUS,2014,93.989067
17,Azerbaijan,AZE,1998,76.623375
18,Azerbaijan,AZE,2014,81.836327
19,Bahrain,BHR,2014,72.666672
20,Bangladesh,BGD,1998,84.721306
21,Bangladesh,BGD,2004,77.400002
22,Belarus,BLR,1993,43.842361
23,Belarus,BLR,1998,44.885277
24,Belarus,BLR,2014,65.306122
25,Bosnia and Herzegovina,BIH,1998,79.125
26,Bosnia and Herzegovina,BIH,2004,81.833336
27,Brazil,BRA,1993,75.925926
28,Brazil,BRA,2009,90.380768
29,Brazil,BRA,2014,91.784515
30,Bulgaria,BGR,1998,55.503731
31,Bulgaria,BGR,2009,55.744255
32,Burkina Faso,BFA,2009,79.882431
33,Canada,CAN,2004,95.857063
34,Canada,CAN,2009,95.05088
35,Chile,CHL,1993,71.866669
36,Chile,CHL,1998,80.0
37,Chile,CHL,2004,79.833336
38,Chile,CHL,2009,82.082077
39,Chile,CHL,2014,84.669342
40,China,CHN,1993,67.002014
41,China,CHN,1998,83.600006
42,China,CHN,2004,78.11245
43,China,CHN,2009,76.219208
44,China,CHN,2014,84.995628
45,Colombia,COL,1998,84.312416
46,Colombia,COL,2009,86.842979
47,Colombia,COL,2014,91.594971
48,Croatia,HRV,1998,69.397995
49,Cyprus,CYP,2009,87.511917
50,Cyprus,CYP,2014,82.082077
51,Czechia,CZE,1993,72.697723
52,Czechia,CZE,1998,83.524231
53,Dominican Republic,DOM,1998,72.422066
54,Ecuador,ECU,2014,93.01165
55,Egypt,EGY,2004,89.400002
56,Egypt,EGY,2009,84.229507
57,Egypt,EGY,2014,29.678267
58,El Salvador,SLV,1998,92.02552
59,Estonia,EST,1998,63.663078
60,Estonia,EST,2014,75.440887
61,Ethiopia,ETH,2009,63.678932
62,Finland,FIN,1984,93.580742
63,Finland,FIN,1998,91.18541
64,Finland,FIN,2009,91.715973
65,France,FRA,2009,89.61039
66,Georgia,GEO,1998,65.239044
67,Georgia,GEO,2009,66.154877
68,Georgia,GEO,2014,69.550743
69,Germany,DEU,1998,80.552818
70,Germany,DEU,2009,78.248177
71,Germany,DEU,2014,86.134247
72,Ghana,GHA,2009,78.473579
73,Ghana,GHA,2014,82.538658
74,Guatemala,GTM,2009,78.699997
75,Hong Kong,HKG,2009,83.546326
76,Hong Kong,HKG,2014,89.278557
77,Hungary,HUN,1984,78.451881
78,Hungary,HUN,1998,77.384613
79,Hungary,HUN,2009,75.920395
80,India,IND,1993,72.0
81,India,IND,1998,75.882355
82,India,IND,2004,72.877121
83,India,IND,2009,75.36232
84,India,IND,2014,80.518654
85,Indonesia,IDN,2004,94.594589
86,Indonesia,IDN,2009,92.94294
87,Iran,IRN,2004,58.290054
88,Iran,IRN,2009,80.29557
89,Iraq,IRQ,2004,62.338223
90,Iraq,IRQ,2009,52.927929
91,Iraq,IRQ,2014,68.0
92,Israel,ISR,2004,77.462433
93,Italy,ITA,2009,89.781746
94,Japan,JPN,1984,83.228134
95,Japan,JPN,1993,77.744804
96,Japan,JPN,1998,89.089188
97,Japan,JPN,2004,86.490456
98,Japan,JPN,2009,89.681053
99,Japan,JPN,2014,86.45108
100,Jordan,JOR,2004,83.142387
101,Jordan,JOR,2009,87.406174
102,Jordan,JOR,2014,85.75
103,Kazakhstan,KAZ,2014,88.73333
104,Kuwait,KWT,2014,91.987679
105,Kyrgyzstan,KGZ,2004,83.892616
106,Kyrgyzstan,KGZ,2014,95.994659
107,Latvia,LVA,1998,68.833336
108,Lebanon,LBN,2014,78.726974
109,Libya,LBY,2014,86.817322
110,Lithuania,LTU,1998,54.70763
111,Malaysia,MYS,2009,94.754372
112,Malaysia,MYS,2014,96.076927
113,Mali,MLI,2009,83.355263
114,Mexico,MEX,1984,80.677399
115,Mexico,MEX,1993,68.543045
116,Mexico,MEX,1998,66.116753
117,Mexico,MEX,2004,91.66124
118,Mexico,MEX,2009,90.93248
119,Mexico,MEX,2014,94.25
120,Moldova,MDA,1998,43.39431
121,Moldova,MDA,2004,49.007938
122,Moldova,MDA,2009,50.191204
123,Montenegro,MNE,1998,69.166664
124,Montenegro,MNE,2004,65.28302
125,Morocco,MAR,2004,79.136696
126,Morocco,MAR,2009,80.900749
127,Morocco,MAR,2014,78.464111
128,Netherlands,NLD,2009,93.696274
129,Netherlands,NLD,2014,92.429024
130,New Zealand,NZL,1998,94.970665
131,New Zealand,NZL,2009,96.842102
132,New Zealand,NZL,2014,94.067795
133,Nigeria,NGA,1993,65.434563
134,Nigeria,NGA,1998,84.464554
135,Nigeria,NGA,2004,91.83976
136,Nigeria,NGA,2014,83.797607
137,North Macedonia,MKD,1998,62.311562
138,North Macedonia,MKD,2004,74.691948
139,Norway,NOR,1998,94.321213
140,Norway,NOR,2009,96.386719
141,Pakistan,PAK,1998,78.581169
142,Pakistan,PAK,2004,75.599998
143,Pakistan,PAK,2014,83.889816
144,Palestine,PSE,2014,74.400002
145,Peru,PER,1998,62.84063
146,Peru,PER,2004,66.089272
147,Peru,PER,2009,68.050903
148,Peru,PER,2014,75.867767
149,Philippines,PHL,1998,92.5
150,Philippines,PHL,2004,88.0
151,Philippines,PHL,2014,89.583328
152,Poland,POL,1993,87.633263
153,Poland,POL,1998,85.255852
154,Poland,POL,2009,87.099998
155,Poland,POL,2014,92.723495
156,Puerto Rico,PRI,1998,90.799652
157,Puerto Rico,PRI,2004,94.027779
158,Qatar,QAT,2014,98.113213
