Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Estimates,AFRICA,,903,,,2.0,Region,1840,1950.0,225120.311,227549.258,113474.172,114075.086,7.7,99.473,18.129,4886.131,21.466,4857.894,2.135,32.466,10949.117,1682.377,48.102,6.586,1.834,29.545,103.9,6062.986,3152.087,2910.899,26.636,37.624,36.436,38.838,43.782,42.8,44.771,10.658,10.353,10.929,4.701,4.582,4.799,2021.508,186.567,9549.67,3440.484,323.904,500.908,513.254,488.356,654.736,676.242,632.628,308.007,323.552,292.231,448.248,474.317,422.043,-28.286,-0.124
Estimates,AFRICA,,903,,,2.0,Region,1840,1951.0,229978.205,232483.995,115915.005,116568.989,7.867,99.439,18.116,5068.03,21.793,5011.579,2.156,32.15,11200.481,1713.871,48.163,6.592,1.85,29.549,103.9,6132.451,3187.351,2945.1,26.37,37.931,36.729,39.158,43.858,42.857,44.867,10.675,10.354,10.96,4.706,4.57,4.819,2053.236,184.452,9785.482,3471.106,319.432,496.578,508.975,484.0,651.253,673.073,628.834,306.531,322.275,290.545,446.659,473.07,420.096,-56.348,-0.242
Estimates,AFRICA,,903,,,2.0,Region,1840,1952.0,234989.784,237586.06,118442.586,119143.474,8.04,99.412,18.092,5293.461,22.271,5192.552,2.186,31.708,11448.324,1740.078,48.167,6.596,1.874,29.553,103.9,6154.863,3199.46,2955.403,25.896,38.443,37.223,39.689,44.02,42.997,45.05,10.737,10.409,11.029,4.739,4.597,4.854,2062.187,181.263,10027.153,3475.048,313.062,489.666,502.255,476.901,645.11,667.352,622.25,303.924,319.994,287.6,443.249,470.024,416.295,-100.834,-0.424
Estimates,AFRICA,,903,,,2.0,Region,1840,1953.0,240182.336,242837.448,121050.757,121786.691,8.218,99.396,18.052,5520.284,22.718,5310.223,2.187,31.694,11708.347,1771.1,48.185,6.607,1.897,29.556,103.9,6188.063,3216.657,2971.406,25.467,38.915,37.687,40.169,44.228,43.188,45.278,10.797,10.461,11.096,4.755,4.616,4.866,2070.329,177.986,10281.355,3482.896,306.924,483.243,495.689,470.638,638.976,661.642,615.678,300.284,316.494,283.818,438.779,466.084,411.267,-210.067,-0.865
Estimates,AFRICA,,903,,,2.0,Region,1840,1954.0,245492.559,248244.771,123736.856,124507.915,8.401,99.381,17.995,5707.774,22.979,5504.423,2.217,31.265,11941.297,1793.24,48.075,6.61,1.92,29.562,103.9,6233.523,3252.43,2981.093,25.096,39.299,37.947,40.69,44.212,42.986,45.46,10.842,10.48,11.164,4.78,4.63,4.901,2073.665,174.663,10513.306,3488.113,300.897,478.505,493.14,463.594,635.464,660.735,609.224,301.377,321.408,280.89,439.324,470.422,407.626,-203.348,-0.819
Estimates,AFRICA,,903,,,2.0,Region,1840,1955.0,250996.982,253847.728,126517.772,127329.956,8.59,99.362,17.927,5932.569,23.356,5701.491,2.246,30.861,12190.188,1826.329,47.992,6.617,1.944,29.568,103.9,6257.619,3266.607,2991.012,24.636,39.801,38.431,41.212,44.41,43.162,45.683,10.902,10.525,11.238,4.808,4.649,4.935,2078.538,171.542,10758.713,3494.582,295.159,471.555,486.245,456.596,629.13,654.857,602.393,297.847,318.056,277.182,435.219,466.731,403.056,-231.048,-0.91
Estimates,AFRICA,,903,,,2.0,Region,1840,1956.0,256698.473,259631.382,129391.794,130239.588,8.786,99.349,17.851,6140.883,23.635,5865.818,2.259,30.684,12452.733,1862.736,47.929,6.63,1.965,29.565,103.9,6311.85,3299.094,3012.756,24.294,40.17,38.758,41.629,44.517,43.21,45.854,10.94,10.543,11.294,4.827,4.658,4.96,2090.155,168.884,11013.241,3511.433,290.3,466.502,481.698,451.018,624.79,651.467,596.982,296.027,317.195,274.359,433.074,465.8,399.559,-275.026,-1.059
Estimates,AFRICA,,903,,,2.0,Region,1840,1957.0,262564.291,265515.232,132316.624,133198.608,8.985,99.338,17.767,6226.723,23.433,5901.882,2.223,31.181,12716.803,1904.496,47.858,6.641,1.963,29.562,103.9,6490.08,3393.294,3096.786,24.425,40.013,38.586,41.488,44.416,43.07,45.796,10.895,10.488,11.257,4.82,4.645,4.958,2139.633,169.147,11245.238,3603.758,290.974,468.287,483.71,452.577,627.343,654.558,598.89,297.37,319.408,274.79,435.485,469.262,400.769,-324.781,-1.222
Estimates,AFRICA,,903,,,2.0,Region,1840,1958.0,268466.173,271429.557,135255.065,136174.492,9.185,99.325,17.668,6426.873,23.653,5926.769,2.184,31.738,12982.382,1950.626,47.778,6.651,1.979,29.55,103.9,6555.509,3429.192,3126.317,24.125,40.303,38.859,41.797,44.448,43.078,45.853,10.925,10.512,11.294,4.83,4.651,4.971,2148.73,166.504,11503.709,3615.941,286.244,464.603,480.265,448.648,624.353,651.953,595.446,297.121,319.524,274.168,434.883,469.06,399.682,-500.095,-1.84
Estimates,AFRICA,,903,,,2.0,Region,1840,1959.0,274392.942,277648.187,138347.887,139300.299,9.396,99.316,17.559,6784.88,24.421,6510.489,2.345,29.559,13243.85,2001.565,47.668,6.664,2.026,29.537,103.9,6458.97,3381.45,3077.52,23.247,41.282,39.813,42.803,44.86,43.491,46.263,11.056,10.634,11.43,4.877,4.696,5.02,2118.853,161.047,11784.44,3548.317,276.041,451.391,467.133,435.358,611.324,639.254,582.065,290.102,312.02,267.678,425.91,459.746,391.061,-274.316,-0.987
