Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Estimates,Sub-Saharan Africa,b,1834,,,202.0,SDG region,1828,1950.0,175662.711,177491.856,88203.727,89288.129,8.118,98.786,17.983,3662.851,20.631,3658.289,2.061,33.632,8369.119,1275.661,47.139,6.499,1.816,29.705,103.5,4706.268,2442.483,2263.785,26.508,37.477,36.232,38.748,43.136,42.291,43.973,10.543,10.292,10.762,4.657,4.551,4.743,1458.856,176.345,7363.228,2565.608,315.772,504.732,518.424,490.762,661.661,682.397,640.425,322.423,336.168,308.554,462.452,485.228,439.873,-4.6,-0.026
Estimates,Sub-Saharan Africa,b,1834,,,202.0,SDG region,1828,1951.0,179321.0,181206.691,90039.036,91167.655,8.288,98.762,17.971,3796.935,20.949,3771.382,2.081,33.308,8560.738,1301.212,47.232,6.507,1.829,29.712,103.5,4763.803,2471.566,2292.237,26.283,37.728,36.474,39.005,43.231,42.372,44.084,10.574,10.314,10.8,4.675,4.561,4.766,1488.069,174.89,7540.464,2596.93,312.606,501.238,514.988,487.245,658.594,679.567,637.117,320.69,334.615,306.625,460.466,483.519,437.577,-25.436,-0.14
Estimates,Sub-Saharan Africa,b,1834,,,202.0,SDG region,1828,1952.0,183092.382,185025.405,91926.985,93098.421,8.462,98.742,17.952,3937.473,21.273,3866.047,2.09,33.165,8745.905,1324.197,47.252,6.507,1.843,29.715,103.5,4808.432,2495.757,2312.675,25.979,38.043,36.768,39.343,43.312,42.414,44.205,10.6,10.329,10.836,4.692,4.57,4.79,1500.613,172.598,7717.186,2613.824,308.144,496.881,510.911,482.614,654.989,676.508,632.918,319.241,333.851,304.463,458.764,482.595,435.026,-71.434,-0.386
Estimates,Sub-Saharan Africa,b,1834,,,202.0,SDG region,1828,1953.0,186958.429,188925.019,93857.236,95067.783,8.641,98.727,17.918,4105.096,21.715,3933.181,2.082,33.292,8943.743,1351.912,47.31,6.517,1.865,29.717,103.5,4838.647,2513.638,2325.009,25.595,38.456,37.152,39.786,43.487,42.549,44.422,10.652,10.363,10.903,4.718,4.583,4.824,1511.808,170.113,7906.927,2629.642,303.391,491.09,505.385,476.558,649.74,671.942,626.921,316.06,331.284,300.644,455.094,479.779,430.424,-171.911,-0.909
Estimates,Sub-Saharan Africa,b,1834,,,202.0,SDG region,1828,1954.0,190891.61,192937.718,95846.475,97091.243,8.824,98.718,17.873,4254.518,22.038,4092.216,2.121,32.68,9126.491,1374.154,47.275,6.522,1.884,29.723,103.5,4871.973,2533.091,2338.882,25.237,38.842,37.512,40.202,43.617,42.637,44.596,10.684,10.383,10.947,4.733,4.59,4.846,1520.012,167.523,8084.662,2643.001,298.495,485.646,500.234,470.816,645.052,667.939,621.454,313.613,329.548,297.451,452.339,477.926,426.651,-162.311,-0.841
Estimates,Sub-Saharan Africa,b,1834,,,202.0,SDG region,1828,1955.0,194983.826,197106.585,97915.822,99190.764,9.015,98.715,17.825,4421.901,22.42,4245.518,2.154,32.18,9323.596,1405.817,47.273,6.533,1.905,29.728,103.5,4901.695,2549.93,2351.765,24.853,39.261,37.916,40.638,43.794,42.788,44.802,10.732,10.42,11.004,4.755,4.603,4.874,1529.338,165.042,8275.092,2657.229,293.717,479.777,494.469,464.845,639.634,662.974,615.519,310.325,326.646,293.762,448.537,474.675,422.211,-176.388,-0.894
Estimates,Sub-Saharan Africa,b,1834,,,202.0,SDG region,1828,1956.0,199229.344,201431.278,100064.705,101366.573,9.213,98.716,17.773,4589.007,22.768,4403.868,2.186,31.708,9534.329,1439.849,47.303,6.548,1.926,29.724,103.5,4945.322,2575.913,2369.409,24.535,39.613,38.233,41.027,43.91,42.854,44.974,10.761,10.43,11.051,4.768,4.604,4.897,1541.12,162.685,8477.504,2674.535,289.258,474.834,489.904,459.512,635.346,659.512,610.291,308.126,325.266,290.71,446.059,473.283,418.515,-185.079,-0.918
Estimates,Sub-Saharan Africa,b,1834,,,202.0,SDG region,1828,1957.0,203633.212,205850.721,102260.182,103590.539,9.415,98.716,17.718,4633.745,22.496,4435.018,2.155,32.165,9752.466,1482.202,47.346,6.564,1.917,29.717,103.5,5118.721,2668.164,2450.557,24.85,39.276,37.872,40.718,43.737,42.614,44.872,10.691,10.353,10.988,4.755,4.587,4.887,1592.712,164.216,8661.796,2770.274,292.062,479.059,494.644,463.208,640.195,665.179,614.161,310.704,329.428,291.635,450.049,478.961,420.601,-198.661,-0.964
Estimates,Sub-Saharan Africa,b,1834,,,202.0,SDG region,1828,1958.0,208068.23,210308.726,104475.98,105832.746,9.619,98.718,17.651,4801.814,22.811,4480.991,2.131,32.527,9970.165,1529.269,47.363,6.574,1.934,29.697,103.5,5168.351,2694.863,2473.488,24.552,39.58,38.171,41.03,43.801,42.663,44.954,10.719,10.378,11.017,4.767,4.596,4.901,1603.779,161.883,8871.035,2785.236,287.669,474.991,490.664,459.054,636.789,662.025,610.441,309.663,328.667,290.308,448.694,477.908,418.856,-320.784,-1.524
Estimates,Sub-Saharan Africa,b,1834,,,202.0,SDG region,1828,1959.0,212549.221,215031.514,106824.281,108207.233,9.835,98.722,17.577,5113.683,23.768,4964.587,2.309,30.019,10188.125,1582.711,47.354,6.589,1.986,29.676,103.5,5074.442,2649.65,2424.792,23.586,40.655,39.214,42.14,44.269,43.125,45.427,10.869,10.514,11.18,4.82,4.641,4.959,1577.205,155.937,9105.836,2724.056,276.38,460.532,476.378,444.411,622.396,648.031,595.599,301.708,320.303,282.787,438.377,467.295,408.803,-149.017,-0.693
