Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Estimates,Land-locked Developing Countries (LLDC),h,1636,,,432.0,Special other,1803,1950.0,102637.674,103789.039,51370.683,52418.357,6.288,98.001,19.022,2179.741,21.007,2302.73,2.219,31.237,4766.537,617.915,45.936,6.224,1.821,29.64,104.5,2586.796,1369.887,1216.909,24.929,39.484,37.684,41.381,44.525,42.792,46.335,10.902,10.27,11.512,4.855,4.543,5.112,850.739,180.982,4179.29,1388.489,305.394,473.607,492.255,454.75,632.51,666.863,596.541,293.21,321.966,264.908,435.264,478.671,390.999,122.95,1.185
Estimates,Land-locked Developing Countries (LLDC),h,1636,,,432.0,Special other,1803,1951.0,104940.404,106118.084,52502.647,53615.438,6.429,97.924,19.001,2248.911,21.2,2355.361,2.22,31.223,4876.926,625.468,45.973,6.223,1.834,29.651,104.6,2628.015,1392.355,1235.66,24.773,39.798,37.981,41.713,44.627,42.882,46.444,10.919,10.278,11.538,4.862,4.541,5.124,869.662,179.38,4281.266,1414.19,300.94,469.188,487.9,450.239,628.604,663.374,592.365,291.498,320.199,263.239,432.968,476.675,388.673,106.505,1.004
Estimates,Land-locked Developing Countries (LLDC),h,1636,,,432.0,Special other,1803,1952.0,107295.765,108502.602,53661.933,54840.668,6.574,97.851,18.951,2337.097,21.543,2413.673,2.225,31.153,4991.008,637.541,46.007,6.225,1.852,29.662,104.6,2653.911,1405.785,1248.126,24.464,40.209,38.38,42.13,44.737,42.988,46.551,10.95,10.31,11.564,4.878,4.558,5.133,876.145,176.673,4390.553,1425.143,295.166,463.534,482.267,444.546,623.715,658.836,587.309,289.76,318.307,261.627,430.519,474.373,386.365,76.48,0.705
Estimates,Land-locked Developing Countries (LLDC),h,1636,,,432.0,Special other,1803,1953.0,109709.438,110938.664,54847.1,56091.565,6.721,97.781,18.881,2429.228,21.896,2458.453,2.216,31.279,5107.861,654.118,46.04,6.23,1.87,29.673,104.6,2678.633,1418.59,1260.043,24.144,40.613,38.771,42.543,44.899,43.14,46.715,10.983,10.34,11.597,4.887,4.568,5.138,884.315,174.241,4501.701,1437.988,290.266,457.831,476.529,438.866,618.37,653.915,581.724,286.933,315.322,258.937,426.842,470.991,382.673,29.235,0.264
Estimates,Land-locked Developing Countries (LLDC),h,1636,,,432.0,Special other,1803,1954.0,112167.891,113439.129,56064.336,57374.793,6.873,97.716,18.815,2520.428,22.217,2542.476,2.241,30.93,5222.369,669.74,46.033,6.234,1.888,29.686,104.6,2701.941,1431.333,1270.608,23.816,40.999,39.13,42.954,45.025,43.236,46.867,11.023,10.369,11.646,4.91,4.583,5.164,890.254,171.536,4612.153,1448.476,285.458,452.497,471.399,433.31,613.563,649.797,576.356,284.925,313.598,256.624,424.065,468.905,379.418,22.037,0.194
Estimates,Land-locked Developing Countries (LLDC),h,1636,,,432.0,Special other,1803,1955.0,114710.367,116031.086,57327.406,58703.68,7.03,97.656,18.761,2624.332,22.615,2641.437,2.277,30.441,5348.291,686.036,46.088,6.248,1.908,29.698,104.6,2723.959,1442.963,1280.996,23.473,41.41,39.524,43.379,45.196,43.385,47.055,11.059,10.394,11.69,4.922,4.587,5.183,897.921,169.019,4732.406,1459.767,280.976,446.634,465.561,427.414,608.032,644.777,570.458,281.886,310.637,253.517,420.207,465.528,375.288,17.121,0.148
Estimates,Land-locked Developing Countries (LLDC),h,1636,,,432.0,Special other,1803,1956.0,117351.804,118731.661,58646.213,60085.448,7.193,97.605,18.717,2739.591,23.071,2759.714,2.324,29.826,5488.356,704.903,46.219,6.274,1.932,29.689,104.6,2748.765,1456.078,1292.687,23.148,41.801,39.893,43.789,45.331,43.492,47.211,11.094,10.426,11.725,4.934,4.601,5.192,905.466,166.206,4866.753,1470.422,276.286,441.113,460.243,421.679,603.026,640.382,564.938,279.564,308.653,250.881,417.199,463.122,371.827,20.165,0.17
Estimates,Land-locked Developing Countries (LLDC),h,1636,,,432.0,Special other,1803,1957.0,120111.518,121481.036,59990.459,61490.577,7.36,97.56,18.682,2722.056,22.405,2739.036,2.255,30.738,5631.107,719.001,46.349,6.303,1.904,29.679,104.6,2909.051,1537.979,1371.072,23.944,40.886,39.015,42.833,44.903,43.038,46.808,10.951,10.294,11.568,4.898,4.564,5.156,952.698,170.103,4978.704,1559.609,284.32,453.031,472.121,433.665,615.792,653.123,577.746,286.534,316.956,256.534,426.615,473.838,379.912,16.915,0.139
Estimates,Land-locked Developing Countries (LLDC),h,1636,,,432.0,Special other,1803,1958.0,122850.554,124255.52,61347.295,62908.225,7.528,97.519,18.633,2846.162,22.898,2809.932,2.262,30.643,5777.744,730.24,46.483,6.34,1.931,29.67,104.6,2931.582,1550.396,1381.186,23.585,41.27,39.369,43.246,44.979,43.079,46.917,11.003,10.338,11.626,4.924,4.585,5.185,957.811,166.972,5120.486,1564.581,278.902,447.992,467.494,428.197,611.432,649.411,572.765,285.697,316.644,255.219,424.975,472.782,377.743,-36.174,-0.291
Estimates,Land-locked Developing Countries (LLDC),h,1636,,,432.0,Special other,1803,1959.0,125660.486,127232.349,62806.736,64425.614,7.708,97.487,18.545,3103.723,24.393,3143.727,2.471,28.051,5922.114,744.228,46.543,6.377,2.013,29.644,104.6,2818.391,1493.937,1324.454,22.15,42.979,40.992,45.041,45.676,43.751,47.632,11.221,10.525,11.868,4.994,4.643,5.262,926.655,157.818,5284.744,1495.771,261.619,424.86,444.847,404.532,588.422,627.506,548.746,273.957,304.185,244.289,409.607,457.003,362.993,40.075,0.315
Estimates,Land-locked Developing Countries (LLDC),h,1636,,,432.0,Special other,1803,1960.0,128804.213,130444.34,64385.526,66058.814,7.903,97.467,18.419,3222.921,24.708,3280.253,2.515,27.561,6070.886,758.469,46.541,6.416,2.042,29.633,104.6,2847.965,1508.92,1339.045,21.833,43.386,41.389,45.452,45.812,43.877,47.77,11.253,10.556,11.896,5.003,4.654,5.27,935.847,155.222,5428.137,1509.602,256.952,419.086,439.068,398.753,583.152,622.489,543.263,271.41,301.671,241.745,406.59,454.053,359.949,57.289,0.439
