Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Estimates,Eastern Africa,,910,,,14.0,Subregion,903,1950.0,65038.815,65794.236,32714.298,33079.938,9.89,98.895,17.265,1544.236,23.464,1510.842,2.296,30.189,3240.626,464.909,49.24,6.928,2.0,30.099,103.4,1696.39,895.546,800.844,25.776,38.662,37.053,40.34,43.504,42.32,44.71,10.706,10.348,11.036,4.764,4.56,4.951,556.927,171.958,2858.46,945.988,298.837,488.576,507.42,469.055,648.398,675.426,620.06,317.281,337.36,296.646,455.848,485.789,425.545,-33.411,-0.508
Estimates,Eastern Africa,,910,,,14.0,Subregion,903,1951.0,66549.657,67328.314,33459.833,33868.482,10.121,98.793,17.223,1600.717,23.763,1557.315,2.313,29.967,3316.181,474.347,49.229,6.928,2.011,30.096,103.4,1715.464,903.69,811.774,25.466,38.927,37.333,40.584,43.618,42.452,44.802,10.746,10.389,11.072,4.787,4.581,4.972,562.113,170.549,2928.334,955.351,295.745,484.898,503.468,465.748,645.071,671.819,617.078,315.277,334.869,295.152,453.56,482.966,423.796,-43.38,-0.644
Estimates,Eastern Africa,,910,,,14.0,Subregion,903,1952.0,68106.972,68905.136,34227.421,34677.716,10.358,98.701,17.173,1656.488,24.025,1596.329,2.317,29.916,3389.436,483.196,49.159,6.919,2.024,30.09,103.4,1732.948,912.787,820.161,25.134,39.222,37.598,40.911,43.645,42.42,44.893,10.769,10.403,11.101,4.799,4.589,4.985,567.071,168.312,2998.152,959.804,291.132,480.952,500.079,461.258,642.084,669.609,613.208,314.973,335.784,293.573,453.063,483.654,421.957,-60.152,-0.872
Estimates,Eastern Africa,,910,,,14.0,Subregion,903,1953.0,69703.301,70518.765,35013.842,35504.922,10.6,98.617,17.113,1725.569,24.449,1630.927,2.313,29.967,3465.875,494.454,49.106,6.912,2.044,30.077,103.4,1740.306,915.917,824.389,24.657,39.699,38.078,41.382,43.826,42.595,45.078,10.823,10.453,11.158,4.823,4.609,5.007,569.674,165.416,3072.607,961.101,285.507,474.219,493.18,454.748,636.235,663.891,607.232,311.74,332.517,290.411,449.455,480.099,418.262,-94.631,-1.341
Estimates,Eastern Africa,,910,,,14.0,Subregion,903,1954.0,71334.228,72185.576,35827.309,36358.266,10.851,98.54,17.05,1791.181,24.794,1702.695,2.359,29.383,3540.414,503.065,49.007,6.906,2.064,30.076,103.4,1749.233,921.007,828.226,24.213,40.154,38.502,41.869,43.992,42.719,45.287,10.87,10.486,11.213,4.833,4.617,5.016,571.588,162.446,3145.862,962.526,280.057,467.867,487.168,448.073,630.595,658.991,600.756,308.735,330.191,286.731,445.987,477.486,413.827,-88.481,-1.225
Estimates,Eastern Africa,,910,,,14.0,Subregion,903,1955.0,73036.923,73922.833,36676.12,37246.713,11.112,98.468,16.984,1863.173,25.184,1771.82,2.397,28.917,3621.623,513.678,48.952,6.909,2.086,30.079,103.4,1758.45,925.603,832.847,23.768,40.621,38.964,42.341,44.184,42.895,45.494,10.922,10.53,11.271,4.849,4.63,5.031,574.088,159.566,3225.138,965.054,274.8,461.328,480.586,441.618,624.574,653.243,594.437,305.209,326.785,283.127,441.934,473.681,409.473,-91.354,-1.235
Estimates,Eastern Africa,,910,,,14.0,Subregion,903,1956.0,74808.743,75730.357,37560.213,38170.145,11.384,98.402,16.909,1936.245,25.547,1843.229,2.434,28.478,3708.865,525.747,48.935,6.918,2.108,30.071,103.4,1772.62,933.271,839.349,23.388,41.025,39.348,42.765,44.321,42.995,45.67,10.957,10.553,11.315,4.859,4.637,5.041,577.66,156.836,3309.735,969.615,269.851,455.705,475.146,435.839,619.566,648.825,588.758,302.626,324.773,279.995,439.002,471.51,405.672,-93.012,-1.227
Estimates,Eastern Africa,,910,,,14.0,Subregion,903,1957.0,76651.972,77545.138,38447.711,39097.427,11.657,98.338,16.835,1884.198,24.279,1786.332,2.304,30.085,3800.459,537.268,48.971,6.934,2.048,30.072,103.4,1916.261,1005.983,910.278,24.692,39.579,37.963,41.257,43.646,42.308,45.012,10.679,10.296,11.018,4.782,4.575,4.949,620.146,163.919,3373.594,1051.719,283.566,474.024,493.049,454.637,639.504,668.412,608.94,312.622,335.989,288.736,454.086,487.757,419.346,-97.831,-1.261
Estimates,Eastern Africa,,910,,,14.0,Subregion,903,1958.0,78438.304,79347.466,39328.296,40019.171,11.927,98.274,16.758,1958.429,24.655,1818.325,2.292,30.242,3889.029,548.608,48.96,6.943,2.068,30.077,103.4,1930.6,1014.357,916.243,24.305,39.914,38.265,41.629,43.666,42.28,45.083,10.723,10.333,11.067,4.798,4.59,4.965,621.489,160.882,3460.24,1051.029,278.01,469.957,489.608,449.941,636.239,665.862,604.837,312.806,337.098,288.01,453.758,488.286,418.021,-140.096,-1.764
Estimates,Eastern Africa,,910,,,14.0,Subregion,903,1959.0,80256.629,81302.208,40285.227,41016.982,12.221,98.216,16.667,2178.822,26.778,2091.159,2.572,26.95,3984.854,564.521,48.974,6.962,2.179,30.07,103.4,1806.032,952.058,853.974,22.196,42.272,40.537,44.073,44.752,43.359,46.17,11.102,10.677,11.477,4.92,4.697,5.097,586.03,148.491,3578.693,975.734,254.527,438.919,458.955,418.514,604.07,634.665,571.721,295.101,318.129,271.723,429.954,463.624,395.234,-87.656,-1.077
