Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Estimates,WORLD,,900,,,1.0,World,0,1950.0,2477674.732,2499322.157,1245362.965,1253959.192,19.166,99.314,22.224,43294.722,17.319,43294.85,1.732,40.02,92083.258,10629.041,36.837,4.86,1.638,28.945,105.4,48788.536,25784.509,23004.027,19.518,46.464,44.595,48.441,47.039,44.831,49.373,11.297,10.467,12.039,5.02,4.731,5.224,13109.145,143.387,82837.349,19780.141,224.01,371.993,388.978,354.748,540.385,580.75,498.04,240.316,271.625,208.192,378.697,430.259,324.931,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1951.0,2520969.582,2543130.38,1267473.182,1275657.198,19.502,99.358,22.172,44322.348,17.427,44321.597,1.743,39.767,92836.9,10741.899,36.502,4.827,1.643,28.91,105.4,48514.552,25505.184,23009.368,19.075,47.144,45.403,48.965,47.503,45.471,49.626,11.337,10.512,12.07,5.014,4.735,5.212,13086.528,141.309,83648.709,19825.046,219.119,361.818,375.83,347.675,529.155,566.728,490.199,231.177,258.09,203.78,368.319,415.836,319.336,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1952.0,2565291.179,2590270.899,1291399.982,1298870.917,19.864,99.425,22.108,49960.072,19.283,49959.439,1.929,35.933,97606.684,11231.717,37.672,5.014,1.73,28.98,105.4,47646.612,24935.224,22711.388,18.389,48.231,46.624,49.891,48.255,46.417,50.151,11.559,10.712,12.309,5.141,4.843,5.353,13215.704,137.295,88207.529,19875.696,212.198,347.27,357.673,336.835,512.159,546.317,477.264,218.674,240.034,197.142,353.055,395.533,309.91,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1953.0,2615250.618,2640278.797,1316659.222,1323619.574,20.247,99.474,22.036,50056.756,18.959,50056.357,1.896,36.558,97555.839,11200.749,36.948,4.937,1.717,28.928,105.4,47499.083,24806.138,22692.945,17.989,48.802,47.24,50.407,48.607,46.817,50.443,11.634,10.778,12.388,5.149,4.849,5.362,13117.346,134.468,88348.382,19780.603,206.944,339.968,349.245,330.682,502.932,535.829,469.532,212.872,232.602,193.049,345.083,385.843,303.905,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1954.0,2665306.975,2691979.339,1342923.171,1349056.168,20.643,99.545,21.952,53345.249,19.812,53344.728,1.982,34.972,100348.054,11471.273,37.269,5.01,1.763,28.943,105.4,47002.805,24539.831,22462.974,17.457,49.592,48.029,51.189,49.091,47.329,50.887,11.815,10.939,12.585,5.258,4.948,5.479,13122.414,131.723,91065.389,19781.855,202.18,330.132,338.816,321.426,490.994,523.124,458.484,205.762,224.05,187.444,335.442,374.658,295.994,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1955.0,2718651.703,2746072.141,1370392.335,1375679.806,21.058,99.616,21.845,54841.257,19.968,54840.876,1.997,34.709,101807.356,11564.618,37.069,5.012,1.779,28.927,105.4,46966.099,24565.631,22400.468,17.101,50.123,48.512,51.773,49.328,47.521,51.172,11.882,10.962,12.69,5.288,4.96,5.522,13056.748,128.763,92595.163,19665.905,197.276,323.123,331.898,314.291,483.348,516.007,450.27,201.979,220.302,183.623,330.37,369.908,290.578,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1956.0,2773492.579,2801002.631,1398204.9,1402797.731,21.48,99.673,21.742,55020.618,19.643,55020.104,1.964,35.293,101827.191,11523.879,36.353,4.939,1.769,28.872,105.4,46806.573,24496.325,22310.248,16.71,50.642,49.006,52.319,49.558,47.728,51.425,11.924,10.977,12.756,5.279,4.933,5.526,12819.31,125.839,92815.995,19374.102,192.428,316.089,324.837,307.262,475.641,508.471,442.395,197.995,216.168,179.79,325.16,364.653,285.419,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1957.0,2828512.683,2857866.857,1426956.255,1430910.602,21.916,99.724,21.634,58708.839,20.537,58708.347,2.054,33.746,105977.909,11871.441,37.073,5.076,1.827,28.912,105.4,47269.07,24758.646,22510.424,16.536,50.945,49.283,52.647,49.662,47.808,51.553,11.955,10.977,12.813,5.338,4.983,5.59,12970.293,123.733,96756.356,19500.892,189.081,311.698,320.436,302.861,471.695,504.774,438.188,196.107,214.198,177.988,323.135,362.758,283.264,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1958.0,2887221.03,2916108.097,1456539.031,1459569.066,22.362,99.792,21.532,57774.656,19.814,57774.134,1.981,34.99,104557.392,11690.449,35.858,4.935,1.792,28.816,105.3,46782.736,24528.202,22254.534,16.044,51.537,49.831,53.283,50.027,48.133,51.956,12.158,11.145,13.045,5.454,5.075,5.723,12724.918,121.096,95647.443,19171.649,184.532,305.162,314.176,296.025,463.421,496.658,429.752,192.057,210.279,173.788,316.785,356.281,277.048,0.0,0.0
Estimates,WORLD,,900,,,1.0,World,0,1959.0,2944995.164,2970292.188,1483988.508,1486303.68,22.778,99.844,21.478,50594.592,17.036,50594.048,1.703,40.702,101921.643,11514.159,34.32,4.741,1.662,28.68,105.3,51327.051,26899.305,24427.746,17.284,49.345,47.661,51.081,49.157,47.196,51.175,11.883,10.876,12.765,5.404,5.033,5.666,13359.566,129.583,92626.745,21160.301,203.915,332.853,342.741,322.814,494.728,528.891,459.912,205.001,226.102,183.697,335.776,378.147,292.818,0.0,0.0
