ISO3 Alpha-code,Year,BMI
AFR,1975,19.7
AFR,1976,19.8
AFR,1977,19.9
AFR,1978,20.1
AFR,1979,20.2
AFR,1980,20.3
AFR,1981,20.4
AFR,1982,20.5
AFR,1983,20.6
AFR,1984,20.7
AFR,1985,20.8
AFR,1986,20.9
AFR,1987,21.0
AFR,1988,21.1
AFR,1989,21.2
AFR,1990,21.3
AFR,1991,21.4
AFR,1992,21.5
AFR,1993,21.6
AFR,1994,21.7
AFR,1995,21.8
AFR,1996,21.9
AFR,1997,21.9
AFR,1998,22.0
AFR,1999,22.1
AFR,2000,22.2
AFR,2001,22.3
AFR,2002,22.4
AFR,2003,22.4
AFR,2004,22.5
AFR,2005,22.6
AFR,2006,22.7
AFR,2007,22.7
AFR,2008,22.8
AFR,2009,22.9
AFR,2010,22.9
AFR,2011,23.0
AFR,2012,23.0
AFR,2013,23.1
AFR,2014,23.1
AFR,2015,23.2
AFR,2016,23.2
AMR,1975,23.9
AMR,1976,24.0
AMR,1977,24.1
AMR,1978,24.2
AMR,1979,24.2
AMR,1980,24.3
AMR,1981,24.4
AMR,1982,24.5
AMR,1983,24.6
AMR,1984,24.7
AMR,1985,24.8
AMR,1986,24.9
AMR,1987,25.0
AMR,1988,25.1
AMR,1989,25.1
AMR,1990,25.2
AMR,1991,25.4
AMR,1992,25.5
AMR,1993,25.6
AMR,1994,25.7
AMR,1995,25.8
AMR,1996,25.9
AMR,1997,26.0
AMR,1998,26.1
AMR,1999,26.2
AMR,2000,26.3
AMR,2001,26.4
AMR,2002,26.5
AMR,2003,26.6
AMR,2004,26.7
AMR,2005,26.8
AMR,2006,26.9
AMR,2007,26.9
AMR,2008,27.0
AMR,2009,27.1
AMR,2010,27.2
AMR,2011,27.3
AMR,2012,27.3
AMR,2013,27.4
AMR,2014,27.5
AMR,2015,27.6
AMR,2016,27.6
EMR,1975,21.9
EMR,1976,22.0
EMR,1977,22.1
EMR,1978,22.2
EMR,1979,22.3
EMR,1980,22.5
EMR,1981,22.6
EMR,1982,22.7
EMR,1983,22.8
EMR,1984,23.0
EMR,1985,23.1
EMR,1986,23.2
EMR,1987,23.3
EMR,1988,23.4
EMR,1989,23.5
EMR,1990,23.7
EMR,1991,23.8
EMR,1992,23.9
EMR,1993,24.0
EMR,1994,24.0
EMR,1995,24.1
EMR,1996,24.3
EMR,1997,24.3
EMR,1998,24.5
EMR,1999,24.6
