ISO3 Alpha-code,Year,darmani*
HTI,2020,12.7
CAF,2020,12.94
COM,2020,14.47
NGA,2020,14.97
SLE,2020,15.54
COD,2020,16.06
CMR,2020,16.29
LBR,2020,16.7
UGA,2020,16.98
TCD,2020,17.2
TKM,2020,17.73
BGD,2020,18.05
ARM,2020,19.25
MMR,2020,19.96
ERI,2020,20.68
TGO,2020,20.86
ZWE,2020,22.09
GNQ,2020,22.41
GIN,2020,23.99
FSM,2020,24.14
TJK,2020,26.31
KHM,2020,27.69
ETH,2020,28.23
NPL,2020,30.05
MOZ,2020,31.74
EGY,2020,31.93
LBN,2020,33.1
SEN,2020,33.42
BEN,2020,33.55
CIV,2020,34.1
SDN,2020,34.18
MLI,2020,34.36
AZE,2020,34.5
PAK,2020,35.59
CHE,2020,35.66
MWI,2020,36.26
GEO,2020,36.53
IND,2020,36.65
BDI,2020,36.98
MDG,2020,37.04
NER,2020,37.78
HND,2020,38.04
GTM,2020,38.28
ALB,2020,39.21
GRD,2020,39.31
RWA,2020,40.01
MRT,2020,40.21
AGO,2020,42.06
LCA,2020,42.2
LAO,2020,42.85
TZA,2020,42.85
COG,2020,43.17
BFA,2020,43.46
ZMB,2020,43.46
MAR,2020,43.53
VEN,2020,43.94
PHL,2020,44.63
BRA,2020,44.75
KGZ,2020,44.84
VNM,2020,45.11
LKA,2020,45.81
UZB,2020,46.16
TTO,2020,46.22
KEN,2020,47.4
MHL,2020,48.71
UKR,2020,49.29
NAM,2020,49.5
JOR,2020,49.7
GHA,2020,49.73
DJI,2020,50.12
STP,2020,50.67
KNA,2020,51.17
LSO,2020,51.7
BRB,2020,52.07
MUS,2020,52.19
GMB,2020,52.23
SGP,2020,52.41
MYS,2020,52.75
MEX,2020,52.88
SWZ,2020,52.89
IRN,2020,53.9
GRC,2020,53.97
PRY,2020,54.33
CHN,2020,54.72
IRQ,2020,54.83
IDN,2020,55.05
TLS,2020,55.28
GAB,2020,55.43
CHL,2020,56.4
USA,2020,56.77
TON,2020,57.1
BHR,2020,57.69
ECU,2020,58.63
TUN,2020,58.69
SLV,2020,59.22
BGR,2020,59.84
ATG,2020,60.22
MKD,2020,60.4
BHS,2020,60.55
PAN,2020,60.67
SRB,2020,60.96
KOR,2020,61.01
CPV,2020,61.53
NIC,2020,61.84
ZAF,2020,62.1
DMA,2020,62.28
MNE,2020,62.47
DZA,2020,62.59
ARE,2020,62.78
LVA,2020,63.44
MNG,2020,63.91
PRT,2020,64.45
SUR,2020,64.63
MDA,2020,64.82
DOM,2020,65.65
VUT,2020,65.7
KAZ,2020,66.16
ARG,2020,66.27
MLT,2020,66.69
VCT,2020,67.71
PER,2020,67.91
JAM,2020,68.0
PNG,2020,68.09
FJI,2020,68.52
LTU,2020,68.67
NLD,2020,68.8
BIH,2020,69.46
NIU,2020,69.79
AFG,2020,7.64
SSD,2020,7.93
THA,2020,70.36
RUS,2020,70.55
ISR,2020,70.83
BLR,2020,70.88
HUN,2020,71.1
URY,2020,71.76
CRI,2020,71.81
BLZ,2020,71.85
BOL,2020,71.89
POL,2020,71.89
WSM,2020,72.41
SVN,2020,72.57
COL,2020,72.66
GUY,2020,72.96
AND,2020,73.17
ESP,2020,73.26
PLW,2020,73.46
NRU,2020,74.54
BWA,2020,74.71
CAN,2020,74.97
AUS,2020,75.09
ITA,2020,76.08
AUT,2020,76.37
FRA,2020,76.72
EST,2020,77.07
NZL,2020,77.16
BTN,2020,78.01
CYP,2020,78.26
DEU,2020,78.44
IRL,2020,78.83
TUR,2020,78.85
QAT,2020,79.13
BEL,2020,79.17
KIR,2020,79.83
MDV,2020,79.99
GNB,2020,8.46
ROU,2020,80.08
SVK,2020,80.27
SLB,2020,81.25
FIN,2020,81.34
HRV,2020,81.88
ISL,2020,83.3
GBR,2020,83.7
TUV,2020,83.98
JPN,2020,84.24
SYC,2020,84.49
DNK,2020,84.86
NOR,2020,85.72
SWE,2020,85.91
MCO,2020,86.9
