,SpatialDimension,Code,TimeDim,SEX,Value
0,COUNTRY,SDF,1979,MLE,21.1
1,COUNTRY,SDF,1985,MLE,21.5
2,COUNTRY,SDF,1987,MLE,21.7
3,COUNTRY,SDF,1995,MLE,22.3
4,COUNTRY,SDF,1996,MLE,22.4
5,COUNTRY,SDF,2003,MLE,22.9
6,COUNTRY,SDF,2011,MLE,23.4
7,COUNTRY,SDF,1977,MLE,20.9
8,COUNTRY,SDF,1978,MLE,21.0
9,COUNTRY,SDF,1980,MLE,21.1
10,COUNTRY,SDF,1986,MLE,21.6
11,COUNTRY,SDF,1988,MLE,21.8
12,COUNTRY,SDF,1989,MLE,21.9
13,COUNTRY,SDF,1994,MLE,22.2
14,COUNTRY,SDF,1997,MLE,22.5
15,COUNTRY,SDF,2002,MLE,22.8
16,COUNTRY,SDF,2005,MLE,23.1
17,COUNTRY,SDF,2013,MLE,23.5
18,COUNTRY,SDF,2014,MLE,23.6
19,COUNTRY,SDF,1975,MLE,20.7
20,COUNTRY,SDF,1981,MLE,21.2
21,COUNTRY,SDF,1984,MLE,21.5
22,COUNTRY,SDF,1990,MLE,21.9
23,COUNTRY,SDF,1991,MLE,22.0
24,COUNTRY,SDF,1993,MLE,22.2
25,COUNTRY,SDF,2007,MLE,23.2
26,COUNTRY,SDF,1998,MLE,22.5
27,COUNTRY,SDF,1999,MLE,22.6
28,COUNTRY,SDF,2006,MLE,23.1
29,COUNTRY,SDF,2004,MLE,23.0
30,COUNTRY,SDF,2010,MLE,23.4
31,COUNTRY,SDF,2012,MLE,23.5
32,COUNTRY,SDF,1976,MLE,20.8
33,COUNTRY,SDF,1982,MLE,21.3
34,COUNTRY,SDF,2008,MLE,23.3
35,COUNTRY,SDF,2009,MLE,23.3
36,COUNTRY,SDF,1983,MLE,21.4
37,COUNTRY,SDF,1992,MLE,22.1
38,COUNTRY,SDF,2000,MLE,22.7
39,COUNTRY,SDF,2001,MLE,22.8
40,COUNTRY,SDF,1996,FMLE,24.8
41,COUNTRY,SDF,1998,FMLE,25.1
42,COUNTRY,SDF,2004,FMLE,25.7
43,COUNTRY,SDF,2007,FMLE,26.0
44,COUNTRY,SDF,2013,FMLE,26.5
45,COUNTRY,SDF,2014,FMLE,26.6
46,COUNTRY,SDF,1976,FMLE,22.5
47,COUNTRY,SDF,2000,FMLE,25.3
48,COUNTRY,SDF,2010,FMLE,26.2
49,COUNTRY,SDF,1975,FMLE,22.4
50,COUNTRY,SDF,1977,FMLE,22.7
